route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
407,Weekday,268__401008_Timetable_-_2025-02,Raleigh,1,401008_Timetable_-_2025-02,100.0.1952647814_Timetable_-_2025-02,Southbound,1
224,SatSunReg,2690__261006_Timetable_-_2025-02,Taunton,0,261006_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
224,SatSun,2691__261005_Timetable_-_2025-02,Taunton,0,261005_Timetable_-_2025-02,100.0.19526498912_Timetable_-_2025-02,Northbound,1
917,SatSunReg,2692__261008_Timetable_-_2025-02,Pickering Parkway Terminal,1,261008_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
224,Weekday,2693__201081_Timetable_-_2025-02,Ajax Station,1,201081_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
917,SatSun,2695__261020_Timetable_-_2025-02,Pickering Parkway Terminal,1,261020_Timetable_-_2025-02,100.0.1952648903_Timetable_-_2025-02,Westbound,1
916,SatSun,2696__261009_Timetable_-_2025-02,Conlin,0,261009_Timetable_-_2025-02,100.0.195264850916_Timetable_-_2025-02,Eastbound,1
224,Weekday,2698__201076_Timetable_-_2025-02,Taunton,0,201076_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
224,Weekday,2699__201081_Timetable_-_2025-02,Ajax Station,1,201081_Timetable_-_2025-02,100.0.1952649896_Timetable_-_2025-02,Southbound,1
407,Weekday,269__401036_Timetable_-_2025-02,Harmony,0,401036_Timetable_-_2025-02,100.0.1952647813_Timetable_-_2025-02,Northbound,1
917,SatSunReg,2700__261007_Timetable_-_2025-02,Oshawa Centre Terminal,0,261007_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
917,SatSunReg,2701__261002_Timetable_-_2025-02,Pickering Parkway Terminal,1,261002_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
917,Weekday,2702__201048_Timetable_-_2025-02,Oshawa Centre Terminal,0,201048_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
916,Weekday,2704__201046_Timetable_-_2025-02,Conlin,0,201046_Timetable_-_2025-02,100.0.1952648501_Timetable_-_2025-02,Eastbound,1
411,SatSun,2705__461012_Timetable_-_2025-02,Oshawa Centre Terminal,1,461012_Timetable_-_2025-02,100.0.1952650521_Timetable_-_2025-02,Westbound,1
